Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein digestion and absorption_Homo sapiens_hsa04974	8/90	0.00208049181877930679240851219446994946338236331939697265625	0.049571286404396286418005956875276751816272735595703125	0.0055109347356051170685464768439487670548260211944580078125	0.1269007732654298947760906912662903778254985809326171875	-1.4805840802218622	9.142830207130565	CPA2;COL18A1;CPA1;CTRL;COL4A4;CTRB1;COL4A3;ATP1A2
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	13/214	0.0034220303985518026219925236119934197631664574146270751953125	0.05310310572416350460844824965533916838467121124267578125	0.00990895978181478669088999566838538157753646373748779296875	0.1538028126577236920358160432442673482000827789306640625	-1.5993925725951799	9.08058527046903	CYFIP2;MAP2K2;ITGA4;ROCK1;RRAS2;IQGAP1;PIK3R1;ACTB;MYL12B;ENAH;NRAS;ARPC2;EZR
Ribosome_Homo sapiens_hsa03010	10/137	0.002685273193458639039155055883156819618307054042816162109375	0.051243963441835689576198120676053804345428943634033203125	0.0073234029328499948563457877526161610148847103118896484375	0.1397549393018873986616057436549453996121883392333984375	-1.47949487092762	8.758569405715537	MRPL30;RPS15A;MRPS16;RPL32;RPL36AL;MRPL18;RPL37A;RPL35A;MRPL15;RPL37
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	6/55	0.0026606552215931327833031705409894129843451082706451416015625	0.051243963441835689576198120676053804345428943634033203125	0.00644932969370371096673455468817337532527744770050048828125	0.1342633181689227017674426178928115405142307281494140625	-1.4450319809051753	8.567858857112256	KRT18;ARPC2;ROCK1;NCL;EZR;ACTB
Proteoglycans in cancer_Homo sapiens_hsa05205	12/203	0.005969368873547380334454448558290096116252243518829345703125	0.0804109101201382348023116719559766352176666259765625	0.01567069619865259222368791824919753707945346832275390625	0.2091263873366795700281528525010799057781696319580078125	-1.5992064809309252	8.189718815911318	CD63;NRAS;MAP2K2;CCND1;ROCK1;RRAS2;IQGAP1;PIK3R1;EZR;MAPK14;ACTB;HBEGF
Parkinson's disease_Homo sapiens_hsa05012	10/142	0.003478369370578395479431943471126942313276231288909912109375	0.05310310572416350460844824965533916838467121124267578125	0.00918681114979487574434546814927671221084892749786376953125	0.1538028126577236920358160432442673482000827789306640625	-1.4332951397125033	8.114158500837155	NDUFB9;COX7A2L;NDUFB5;NDUFA4;NDUFS4;NDUFC1;COX7A2;COX6C;ATP5G1;COX6B1
Spliceosome_Homo sapiens_hsa03040	9/134	0.00737295103641849060294166662288262159563601016998291015625	0.093800321518879681281788407432031817734241485595703125	0.01719507895393722340937614490030682645738124847412109375	0.2091263873366795700281528525010799057781696319580078125	-1.3775741054229056	6.763802402353036	DDX46;SYF2;NCBP2;SNRPD1;DHX15;SNRPG;CDC5L;SLU7;U2SURP
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	7/94	0.0101406116769449557157845021038156119175255298614501953125	0.106785124158765010182747801081859506666660308837890625	0.0212854144142998157052115715259787975810468196868896484375	0.23211237623212654934690135632990859448909759521484375	-1.3416040590008296	6.159581892535602	CREB3;NRAS;ULK1;PIK3R1;ADIPOR1;CAMKK2;ATF4
Huntington's disease_Homo sapiens_hsa05016	11/193	0.01072514347446111571127147499282727949321269989013671875	0.106785124158765010182747801081859506666660308837890625	0.0254091214369233826808613940784198348410427570343017578125	0.2382814679150555559061785970698110759258270263671875	-1.355449361155605	6.147185738440849	CREB3;NDUFB9;COX7A2L;NDUFB5;NDUFA4;NDUFS4;NDUFC1;COX7A2;COX6C;ATP5G1;COX6B1
Prolactin signaling pathway_Homo sapiens_hsa04917	6/72	0.00999992192233876107942958100238683982752263545989990234375	0.106785124158765010182747801081859506666660308837890625	0.0203282663429557308720774244648055173456668853759765625	0.23211237623212654934690135632990859448909759521484375	-1.3326776622218544	6.137217842872517	NRAS;CCND2;MAP2K2;CCND1;PIK3R1;MAPK14
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	8/118	0.0106411371028360297874559847741693374700844287872314453125	0.106785124158765010182747801081859506666660308837890625	0.0229611406749360702495010855272994376718997955322265625	0.233249694641606664102795321014127694070339202880859375	-1.2980957027560764	5.8972850337085045	NOTCH2;NRAS;RXRA;MAP2K2;CCND1;ATP1A2;PIK3R1;ACTB
HTLV-I infection_Homo sapiens_hsa05166	13/258	0.0153191970639701587064696042261857655830681324005126953125	0.1252891474160416629413106193169369362294673919677734375	0.03669892992919894514347589620228973217308521270751953125	0.275190778406419200852184303585090674459934234619140625	-1.2685400437221683	5.3007829851543615	TRRAP;RRAS2;PIK3R1;NRAS;ZFP36;CCND2;CCND1;DVL1;POLE3;CANX;CALR;JAK1;ATF4
Arginine and proline metabolism_Homo sapiens_hsa00330	5/50	0.00864837958408942557297915953995470772497355937957763671875	0.1042357328819199235869774611273896880447864532470703125	0.0173510976392878234209060650528044789098203182220458984375	0.2091263873366795700281528525010799057781696319580078125	-1.0728316620731844	5.096361618632882	ODC1;PRODH;CNDP1;CNDP2;AGMAT
AMPK signaling pathway_Homo sapiens_hsa04152	8/124	0.01405676114729485781662532417612965218722820281982421875	0.12380762702809701425454846912543871439993381500244140625	0.0293149823188124832029632926833073724992573261260986328125	0.2486344796669651413534296580110094510018825531005859375	-1.1524535121082857	4.914812920055525	CREB3;SREBF1;CCND1;ULK1;PPP2R3A;PIK3R1;ADIPOR1;CAMKK2
Pancreatic secretion_Homo sapiens_hsa04972	7/96	0.0113121199946889898491075854281007195822894573211669921875	0.10793647828265744148534821533758076839148998260498046875	0.0234268252260128977126907301453684340231120586395263671875	0.233249694641606664102795321014127694070339202880859375	-1.0938950995580439	4.902707183740343	PNLIPRP1;CPA2;CPA1;CTRL;CTRB1;ATP1A2;SLC4A4
Thyroid cancer_Homo sapiens_hsa05216	4/29	0.00594432389207255607033175692777149379253387451171875	0.0804109101201382348023116719559766352176666259765625	0.01232176966878847403086272294103764579631388187408447265625	0.17635532838453504833609031265950761735439300537109375	-0.9269356209652077	4.75084027018379	NRAS;RXRA;MAP2K2;CCND1
Non-small cell lung cancer_Homo sapiens_hsa05223	5/56	0.0137806990944501321638693269733266788534820079803466796875	0.12380762702809701425454846912543871439993381500244140625	0.02601326068941654801047747014308697544038295745849609375	0.2382814679150555559061785970698110759258270263671875	-1.0837622361401245	4.643364433843654	NRAS;RXRA;MAP2K2;CCND1;PIK3R1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	8/142	0.0290228055416568986313308187163784168660640716552734375	0.201400680879982696414032261600368656218051910400390625	0.05537660231122686071980609767706482671201229095458984375	0.37297770380208683516087830867036245763301849365234375	-1.030592997658564	3.647962578872665	NRAS;MAP2K2;ID2;DVL1;ID4;PIK3R1;MAPK14;JAK1
Hepatitis B_Homo sapiens_hsa05161	8/146	0.033443732851516853876727708438920672051608562469482421875	0.2188175663713531060583505905015044845640659332275390625	0.06270149319735625337290940706225228495895862579345703125	0.401367877480332369000137759940116666257381439208984375	-1.069740732094568	3.6348622654186316	CREB3;NRAS;MAP2K2;CCND1;ATP6AP1;PIK3R1;JAK1;ATF4
Focal adhesion_Homo sapiens_hsa04510	10/202	0.034469030202158919273802695215636049397289752960205078125	0.21926133100817757348721670496161095798015594482421875	0.0683552280425020197807128852218738757073879241943359375	0.401367877480332369000137759940116666257381439208984375	-1.041914556212654	3.50884943426613	CCND2;ITGA4;CCND1;ROCK1;COL4A4;COL4A3;ZYX;PIK3R1;ACTB;MYL12B
Small cell lung cancer_Homo sapiens_hsa05222	6/86	0.022423007495614107054127117635289323516190052032470703125	0.1604646473904884629302358689528773538768291473388671875	0.041266611312976493597393101708803442306816577911376953125	0.29531418720848801040546049989643506705760955810546875	-0.9188711468304214	3.4895672995052065	RXRA;TRAF4;CCND1;COL4A4;COL4A3;PIK3R1
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	5/57	0.01479887468300431462020494421949479146860539913177490234375	0.1252891474160416629413106193169369362294673919677734375	0.0276828183150501123954700943841089610941708087921142578125	0.243821745928710587048016122935223393142223358154296875	-0.7753643583834725	3.266768321675379	HSP90AA1;HSP90AB1;SUGT1;MAPK14;HSP90B1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	8/148	0.035817151309879884102382874289105529896914958953857421875	0.2216791256746619975803724855722975917160511016845703125	0.0665813237073030472767953824586584232747554779052734375	0.401367877480332369000137759940116666257381439208984375	-0.9598661424877835	3.195709621276716	CREB3;ATP1A2;ADRB1;PPP2R3A;PIK3R1;ADRA1B;MAPK14;ATF4
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	6/101	0.044229114822380545535285278901937999762594699859619140625	0.24703578766646694386821536681964062154293060302734375	0.0750226833648558744105372397825703956186771392822265625	0.4212413327298316634283992243581451475620269775390625	-0.9178419453182239	2.862172623037786	NRAS;CCND1;COL4A4;COL4A3;PIK3R1;MAPK14
Metabolic pathways_Homo sapiens_hsa01100	41/1239	0.051512397427378793512975363455552724190056324005126953125	0.262140866908216529918007609012420289218425750732421875	0.165171276022499480262695215060375630855560302734375	0.5562385618992997660114951941068284213542938232421875	-0.9189409534432192	2.725517090762822	PNLIPRP1;NDUFB9;H6PD;NNMT;NDUFB5;TREH;ODC1;RPN1;EPRS;ATP5G1;PLD3;CNDP1;CNDP2;KHK;CYP26B1;MAT2A;B4GALNT1;GGT1;PRODH;BCO1;ATP6V1F;GALNT3;ATP6AP1;GCH1;NDUFA4;PTGES3;GAA;SORD;NDUFC1;MAT1A;COX6C;CYP8B1;AGMAT;COX6B1;INPP4A;UROC1;POLR3D;POLE3;NDUFS4;PGP;DHCR7
Oxytocin signaling pathway_Homo sapiens_hsa04921	8/158	0.049385155568056164632206872511233086697757244110107421875	0.257027286933746823560653638196527026593685150146484375	0.08817465540776138477330192699810140766203403472900390625	0.448711024186163542903926781946211121976375579833984375	-0.8471692105400982	2.5483742722965492	NRAS;CAMK1D;MAP2K2;CCND1;ROCK1;PIK3R1;ACTB;CAMKK2
Phagosome_Homo sapiens_hsa04145	8/154	0.043611410132553034280089576668615336529910564422607421875	0.24703578766646694386821536681964062154293060302734375	0.0790977174994880460889845608107862062752246856689453125	0.4212413327298316634283992243581451475620269775390625	-0.770358042300775	2.4130976209422146	NCF1;ATP6AP1;CANX;CYBA;CALR;RAB7B;ACTB;ATP6V1F
Leishmaniasis_Homo sapiens_hsa05140	5/73	0.03830943147512055890757665110868401825428009033203125	0.2308647317842791313324823931907303631305694580078125	0.06379265978303914896851978255654103122651576995849609375	0.401367877480332369000137759940116666257381439208984375	-0.6492646792880358	2.117939794658438	ITGA4;NCF1;CYBA;MAPK14;JAK1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	8/167	0.06412235097368630676317735606062342412769794464111328125	0.31242592282923753455037285675643943250179290771484375	0.11072428635864457746595945764056523330509662628173828125	0.50151357225148063267994302805163897573947906494140625	-0.746666454759124	2.051064591964595	CREB3;MAP2K2;ROCK1;ATP1A2;ADRB1;PIK3R1;ADRA1B;ATF4
Apoptosis_Homo sapiens_hsa04210	7/140	0.06703947954481230542267411465218174271285533905029296875	0.318897010164335081849884545590612106025218963623046875	0.11169079556692362853453914794954471290111541748046875	0.50151357225148063267994302805163897573947906494140625	-0.7532042982610608	2.0355147210564084	NRAS;ENDOG;MAP2K2;CSF2RB;PIK3R1;ACTB;ATF4
Bladder cancer_Homo sapiens_hsa05219	4/41	0.0199713309879655555312272241508253500796854496002197265625	0.1524478265414704047930882779837702400982379913330078125	0.034784096273642435559469987538250279612839221954345703125	0.274674415402210936321125700487755239009857177734375	-0.4282118179143019	1.6757887437265597	NRAS;MAP2K2;CCND1;HBEGF
RNA transport_Homo sapiens_hsa03013	8/172	0.0733752989449369119601129796137684024870395660400390625	0.323133528045972118203366107991314493119716644287109375	0.1244986406152262248259177113141049630939960479736328125	0.5137658973962924147116382300737313926219940185546875	-0.630187384967462	1.6461552747821135	UPF2;CYFIP2;POP5;UPF1;EIF4A1;POP1;NCBP2;EIF3A
Pathways in cancer_Homo sapiens_hsa05200	15/397	0.08414195235339948231167994663337594829499721527099609375	0.3322156394642841181763515123748220503330230712890625	0.165169773473556713572207854667794890701770782470703125	0.5562385618992997660114951941068284213542938232421875	-0.5882551607384472	1.4560785851232636	HSP90AA1;MAP2K2;HSP90AB1;ROCK1;PIK3R1;GNG11;HSP90B1;NRAS;RXRA;TRAF4;CCND1;COL4A4;DVL1;COL4A3;JAK1
Antigen processing and presentation_Homo sapiens_hsa04612	5/77	0.046475800415228953055279959016843349672853946685791015625	0.25340376893065308383512501677614636719226837158203125	0.0756420081692664447725604759398265741765499114990234375	0.4212413327298316634283992243581451475620269775390625	-0.45179233684410297	1.386470950833142	PDIA3;HSP90AA1;HSP90AB1;CANX;CALR
Cardiac muscle contraction_Homo sapiens_hsa04260	5/78	0.048666753229486138521142635227079153992235660552978515625	0.257027286933746823560653638196527026593685150146484375	0.07877902554914696653387551350533613003790378570556640625	0.4212413327298316634283992243581451475620269775390625	-0.4434972297370123	1.3405853168399373	COX7A2L;ATP1A2;COX7A2;COX6C;COX6B1
Endometrial cancer_Homo sapiens_hsa05213	4/52	0.04302064543460142054254191634754533879458904266357421875	0.24703578766646694386821536681964062154293060302734375	0.068097159812037622028668693019426427781581878662109375	0.401367877480332369000137759940116666257381439208984375	-0.37462371689794555	1.1785943671298198	NRAS;MAP2K2;CCND1;PIK3R1
ErbB signaling pathway_Homo sapiens_hsa04012	5/87	0.07108436435353392146563322739893919788300991058349609375	0.3191827340580248861812151517369784414768218994140625	0.1100571248267067925308282383412006311118602752685546875	0.50151357225148063267994302805163897573947906494140625	-0.41495258219808384	1.097088101601824	NRAS;MAP2K2;ABL2;PIK3R1;HBEGF
Notch signaling pathway_Homo sapiens_hsa04330	4/48	0.0334367045685288466483342517676646821200847625732421875	0.2188175663713531060583505905015044845640659332275390625	0.05456369384425209523303834657781408168375492095947265625	0.37297770380208683516087830867036245763301849365234375	-0.27716127417317293	0.9418220149062724	NCOR2;NOTCH2;DVL1;HES1
GnRH signaling pathway_Homo sapiens_hsa04912	5/91	0.0825920116731376496854721835916279815137386322021484375	0.3322156394642841181763515123748220503330230712890625	0.1256370753458182221162786618151585571467876434326171875	0.5137658973962924147116382300737313926219940185546875	-0.35714571883033486	0.8906651059226703	NRAS;MAP2K2;MAPK14;ATF4;HBEGF
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	5/89	0.07672113146420515839007947533900733105838298797607421875	0.32535442787598112257541060898802243173122406005859375	0.1177237107293329365642620132348383776843547821044921875	0.5137658973962924147116382300737313926219940185546875	-0.3165086644794737	0.8126607155506843	POP5;NOP58;POP1;FCF1;RIOK1
Salmonella infection_Homo sapiens_hsa05132	5/86	0.068354543460771355345428901273407973349094390869140625	0.318897010164335081849884545590612106025218963623046875	0.10631850996218183968977655240450985729694366455078125	0.50151357225148063267994302805163897573947906494140625	-0.29572765491250463	0.7934512696545626	ARPC2;ROCK1;MAPK14;RAB7B;ACTB
Sphingolipid signaling pathway_Homo sapiens_hsa04071	6/120	0.0862190001005258555011323551298119127750396728515625	0.334646627508820682095347365248017013072967529296875	0.13490897512777444422482631125603802502155303955078125	0.532217635021205115464226764743216335773468017578125	-0.28680516076998563	0.7029206462596994	NRAS;MAP2K2;ROCK1;PPP2R3A;PIK3R1;MAPK14
Acute myeloid leukemia_Homo sapiens_hsa05221	4/57	0.05694951807046448599702870296823675744235515594482421875	0.283509557350790586394140291304211132228374481201171875	0.08721324995743924557434212374573689885437488555908203125	0.448711024186163542903926781946211121976375579833984375	-0.1864760972043211	0.5343640489822944	NRAS;MAP2K2;CCND1;PIK3R1
VEGF signaling pathway_Homo sapiens_hsa04370	4/61	0.06962816815815175974790918189682997763156890869140625	0.318897010164335081849884545590612106025218963623046875	0.104175810689789372087687979728798381984233856201171875	0.50151357225148063267994302805163897573947906494140625	-0.13574770066287012	0.36171143338834977	NRAS;MAP2K2;PIK3R1;MAPK14
Amoebiasis_Homo sapiens_hsa05146	5/100	0.11181758221871528069524259763056761585175991058349609375	0.39424786501417674600133977946825325489044189453125	0.164094872096989419230084195078234188258647918701171875	0.5562385618992997660114951941068284213542938232421875	-0.10226924975602827	0.22406031514778288	COL4A4;C9;COL4A3;PIK3R1;RAB7B
FoxO signaling pathway_Homo sapiens_hsa04068	6/133	0.124236285012081448808629602353903464972972869873046875	0.40643013239666647695713663779315538704395294189453125	0.1857329353566592178292893322577583603560924530029296875	0.5931034822737080158816524999565444886684417724609375	-0.09808992340961754	0.20457340179046238	NRAS;CCND2;MAP2K2;CCND1;PIK3R1;MAPK14
Epstein-Barr virus infection_Homo sapiens_hsa05169	8/202	0.144784292868621544680962642814847640693187713623046875	0.434304460236572709153080040778149850666522979736328125	0.2238558177223004819200724568872828967869281768798828125	0.628084607594045163381224483600817620754241943359375	-0.0954849662567968	0.18452567883646973	NCOR2;PSMC5;PSMD7;PSMD4;POLR3D;PIK3R1;MAPK14;JAK1
Hepatitis C_Homo sapiens_hsa05160	6/133	0.124236285012081448808629602353903464972972869873046875	0.40643013239666647695713663779315538704395294189453125	0.1857329353566592178292893322577583603560924530029296875	0.5931034822737080158816524999565444886684417724609375	-0.06749945188663119	0.14077483202607818	NRAS;RXRA;PIK3R1;CLDN2;MAPK14;JAK1
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	1/265	0.998969427706664969690564248594455420970916748046875	0.998969427706664969690564248594455420970916748046875	0.99949369051195879887217188297654502093791961669921875	0.99949369051195879887217188297654502093791961669921875	3.615381465255813	-0.0037278331988420776	CSF2RB
Glioma_Homo sapiens_hsa05214	4/65	0.0836282910160588699444161875362624414265155792236328125	0.3322156394642841181763515123748220503330230712890625	0.1225209334131356631036879889506963081657886505126953125	0.5137658973962924147116382300737313926219940185546875	0.006727986071561805	-0.016694645719670942	NRAS;MAP2K2;CCND1;PIK3R1
Insulin signaling pathway_Homo sapiens_hsa04910	6/139	0.144141093101243178420389767779852263629436492919921875	0.434304460236572709153080040778149850666522979736328125	0.2114200294054039697133617892177426256239414215087890625	0.613253065721525825182425251114182174205780029296875	0.04748959557272234	-0.09198557269357908	SREBF1;NRAS;MAP2K2;MKNK2;PIK3R1;PTPRF
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	3/277	0.97356042104328499586785028441227041184902191162109375	0.97783042288996602220407794447964988648891448974609375	0.985433787715444875487946774228475987911224365234375	0.989755865731740680502070972579531371593475341796875	3.5906169801228875	-0.09621198343342484	ADRB1;PTH1R;ADRA1B
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	1/137	0.9711026563605960060243660336709581315517425537109375	0.97783042288996602220407794447964988648891448974609375	0.97977190536102565232567940256558358669281005859375	0.98840425695010958317965332753374241292476654052734375	3.7297055814621776	-0.10936650725127153	UBE2R2
T cell receptor signaling pathway_Homo sapiens_hsa04660	5/104	0.1262096861700286731799991457592113874852657318115234375	0.40707067792868401046035842227865941822528839111328125	0.182543725457311623028289204739849083125591278076171875	0.5931034822737080158816524999565444886684417724609375	0.05559058989252148	-0.115061991068205	ZAP70;NRAS;MAP2K2;PIK3R1;MAPK14
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	4/68	0.09496133628222713785049791113124229013919830322265625	0.356494196862787104951308947420329786837100982666015625	0.1371215740884327571880163532114238478243350982666015625	0.532217635021205115464226764743216335773468017578125	0.07572432354730807	-0.17827667364783803	NRAS;MAP2K2;PIK3R1;MAPK14
Calcium signaling pathway_Homo sapiens_hsa04020	2/180	0.9457023591699336151350507861934602260589599609375	0.96009648078715026375817842563265003263950347900390625	0.9638296274913236150183593053952790796756744384765625	0.976623826086341129126822124817408621311187744140625	3.6885305874536516	-0.2059210368703341	ADRB1;ADRA1B
Purine metabolism_Homo sapiens_hsa00230	2/176	0.9408640165737176541682629249407909810543060302734375	0.96009648078715026375817842563265003263950347900390625	0.9601964645600935543967580088065005838871002197265625	0.976623826086341129126822124817408621311187744140625	3.5029143698439746	-0.21352595788797174	POLR3D;POLE3
Glutamatergic synapse_Homo sapiens_hsa04724	1/114	0.9475187976327335004356200442998670041561126708984375	0.96009648078715026375817842563265003263950347900390625	0.961040625415920946039705086150206625461578369140625	0.976623826086341129126822124817408621311187744140625	4.235214995115571	-0.22831410040590902	GNG11
TNF signaling pathway_Homo sapiens_hsa04668	5/110	0.1492870376719718505942324782154173590242862701416015625	0.43829143111386603681722817782429046928882598876953125	0.211558917868997997668856214659172110259532928466796875	0.613253065721525825182425251114182174205780029296875	0.15852096038259594	-0.3014885414486402	CREB3;CEBPB;PIK3R1;MAPK14;ATF4
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	7/180	0.17617652661409177738960352144204080104827880859375	0.486077404754542363729541420980240218341350555419921875	0.258332306124673560798754579082014970481395721435546875	0.6721705097162580244685159414075314998626708984375	0.1818142860817711	-0.31567847131425386	CEBPB;RXRA;CCND2;ID2;PBX3;PLAT;NUPR1
Melanoma_Homo sapiens_hsa05218	4/71	0.1069757923543589173132062342119752429425716400146484375	0.388848515065844335669709153080475516617298126220703125	0.152387948291035135728321847636834718286991119384765625	0.5539180977563022967302686083712615072727203369140625	0.15150193439126095	-0.3386299591938379	NRAS;MAP2K2;CCND1;PIK3R1
Cholinergic synapse_Homo sapiens_hsa04725	5/111	0.153296857606290248821068189499783329665660858154296875	0.438812254898005793535276097827591001987457275390625	0.2165353383626610062062667338977917097508907318115234375	0.61983240606311718057241932910983450710773468017578125	0.1946272725423855	-0.3649998981266963	CREB3;NRAS;PIK3R1;GNG11;ATF4
Glycerophospholipid metabolism_Homo sapiens_hsa00564	1/95	0.91412794225481841525748905041837133467197418212890625	0.93872331289844590518356426400714553892612457275390625	0.93315664391218355877555268307332880795001983642578125	0.95826399756004498886596820739214308559894561767578125	4.3721276873695425	-0.3925503334007049	PLD3
NF-kappa B signaling pathway_Homo sapiens_hsa04064	1/93	0.90956216333187323019870973439537920057773590087890625	0.938242051364860163431558248703368008136749267578125	0.92925433337682050716210824248264543712139129638671875	0.95826399756004498886596820739214308559894561767578125	4.512749333583397	-0.42777223902548644	ZAP70
Morphine addiction_Homo sapiens_hsa05032	1/91	0.9047541261651368404983486470882780849933624267578125	0.9375054067503001409278340361197479069232940673828125	0.92512541727384511869303196363034658133983612060546875	0.95826399756004498886596820739214308559894561767578125	4.517212226107578	-0.4521370590559348	GNG11
Chronic myeloid leukemia_Homo sapiens_hsa05220	4/73	0.115347628628601928113539543119259178638458251953125	0.39424786501417674600133977946825325489044189453125	0.1629091940658955739440472143542137928307056427001953125	0.5562385618992997660114951941068284213542938232421875	0.22368098405834316	-0.4831072748094937	NRAS;MAP2K2;CCND1;PIK3R1
Hematopoietic cell lineage_Homo sapiens_hsa04640	1/88	0.8970595915780166240693915824522264301776885986328125	0.93375748396075375357128223186009563505649566650390625	0.91847832187922218150077924292418174445629119873046875	0.9560524350470085419573251783731393516063690185546875	4.615681456722793	-0.5014152536121158	ITGA4
GABAergic synapse_Homo sapiens_hsa04727	1/88	0.8970595915780166240693915824522264301776885986328125	0.93375748396075375357128223186009563505649566650390625	0.91847832187922218150077924292418174445629119873046875	0.9560524350470085419573251783731393516063690185546875	4.726510810562238	-0.5134549771251263	GNG11
Herpes simplex infection_Homo sapiens_hsa05168	3/185	0.8532412715252351009809217430301941931247711181640625	0.8990639598297658352521466440521180629730224609375	0.896852680674491420376170935924164950847625732421875	0.94210671502045195691010803784593008458614349365234375	3.3717346630981964	-0.5351378569745059	UBE2R2;JAK1;HMGN1
