Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
RNA transport_Homo sapiens_hsa03013	8/172	0.08278807338451776853815999857033602893352508544921875	0.99138732094582160403462012254749424755573272705078125	0.0986206175934911943858907079629716463387012481689453125	0.992588119968917936830621329136192798614501953125	-1.5275954039303707	3.8059600598783874	NUP214;UPF1;SUMO1;NUP210;EIF1AX;EIF4EBP1;THOC7;PAIP1
Parkinson's disease_Homo sapiens_hsa05012	7/142	0.07956820334109095116392751378953107632696628570556640625	0.99138732094582160403462012254749424755573272705078125	0.0947523121232921317069752831230289302766323089599609375	0.992588119968917936830621329136192798614501953125	-1.4572112806012396	3.688406812085137	COX8A;NDUFA8;VDAC3;CYCS;UBE2G2;CYC1;COX6C
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	7/151	0.10182972454330323219817699964551138691604137420654296875	0.99138732094582160403462012254749424755573272705078125	0.1191986679160037809754868476375122554600238800048828125	0.992588119968917936830621329136192798614501953125	-1.57568813653939	3.59958584962838	COX8A;NDUFA8;CEBPA;RXRA;CYCS;CYC1;COX6C
Oxidative phosphorylation_Homo sapiens_hsa00190	6/133	0.1361505391473810944180655724267126061022281646728515625	0.99138732094582160403462012254749424755573272705078125	0.155644484799735083324634388191043399274349212646484375	0.992588119968917936830621329136192798614501953125	-1.3615361852487147	2.71489512021192	COX8A;NDUFA8;CYC1;COX6C;ATP6V0D2;ATP6V0C
Metabolic pathways_Homo sapiens_hsa01100	38/1239	0.17328690413101954792551850914605893194675445556640625	0.99138732094582160403462012254749424755573272705078125	0.209147635139238785573212453527958132326602935791015625	0.992588119968917936830621329136192798614501953125	-1.3907657910441156	2.437743530943193	ASAH1;SHMT2;XYLT2;SRM;TYMP;TDO2;POLR2A;RDH11;FPGS;B4GALNT1;PIP5K1C;CYC1;CDIPT;COX8A;BCKDHA;MPST;NDUFA8;ACOT8;GAA;TALDO1;DHCR24;COX6C;CRLS1;CYP8B1;DDOST;AGMAT;ETNPPL;ACER2;GALE;UCK1;DAD1;IMPAD1;HMBS;SARDH;CYCS;SCLY;ATP6V0D2;ATP6V0C
Sphingolipid metabolism_Homo sapiens_hsa00600	3/47	0.12437674793876753176480320917107746936380863189697265625	0.99138732094582160403462012254749424755573272705078125	0.1415161103370088657715797353375819511711597442626953125	0.992588119968917936830621329136192798614501953125	-1.161579243254457	2.4212422724512117	ACER2;ASAH1;SGPP1
Insulin resistance_Homo sapiens_hsa04931	5/109	0.15729003774050542840967636948334984481334686279296875	0.99138732094582160403462012254749424755573272705078125	0.1772787228682501659005055216766777448356151580810546875	0.992588119968917936830621329136192798614501953125	-1.2518294218909682	2.315463570187874	CREB3L3;NR1H2;RPS6KA1;PPARGC1A;PTPRF
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	4/78	0.1473878141895154925133937240389059297740459442138671875	0.99138732094582160403462012254749424755573272705078125	0.1661157570093617918960404722383827902376651763916015625	0.992588119968917936830621329136192798614501953125	-1.1659750489794152	2.2324784046815687	CAV2;PXN;WASL;BCAR1
Malaria_Homo sapiens_hsa05144	3/49	0.136203406531254234135275282824295572936534881591796875	0.99138732094582160403462012254749424755573272705078125	0.1538587509088782667721062580312718637287616729736328125	0.992588119968917936830621329136192798614501953125	-1.0780909590232222	2.1492884689781033	LRP1;SDC2;IL18
Sulfur relay system_Homo sapiens_hsa04122	2/10	0.026726525567219681922548346619805670343339443206787109375	0.95841707983524104808026322643854655325412750244140625	0.037706337421120228459159307021764107048511505126953125	0.992588119968917936830621329136192798614501953125	-0.590402604381304	2.1384965293044806	MPST;CTU2
Notch signaling pathway_Homo sapiens_hsa04330	3/48	0.1302423239474379546010140984435565769672393798828125	0.99138732094582160403462012254749424755573272705078125	0.1476449126404012213154004484749748371541500091552734375	0.992588119968917936830621329136192798614501953125	-1.0013886036102924	2.041189005328761	NCOR2;KAT2B;DVL1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	8/214	0.1991733602465057817454407995683141052722930908203125	0.99138732094582160403462012254749424755573272705078125	0.2240197665502584867258661915911943651735782623291015625	0.992588119968917936830621329136192798614501953125	-1.1542094201853397	1.8624088628094448	CFL2;PXN;MYH9;KRAS;ARHGEF1;WASL;PIP5K1C;BCAR1
Glutathione metabolism_Homo sapiens_hsa00480	3/52	0.15462146020890210618148330468102358281612396240234375	0.99138732094582160403462012254749424755573272705078125	0.172972708780335271416817022327450104057788848876953125	0.992588119968917936830621329136192798614501953125	-0.9199004551481681	1.7172474861020481	GSTA2;OPLAH;SRM
Hippo signaling pathway_Homo sapiens_hsa04390	6/153	0.2123046833956478973703951851348392665386199951171875	0.99138732094582160403462012254749424755573272705078125	0.2357446308432450121639334383871755562722682952880859375	0.992588119968917936830621329136192798614501953125	-0.942670580220329	1.460887565126686	DLG1;DVL1;CSNK1D;SCRIB;LLGL2;STK3
Legionellosis_Homo sapiens_hsa05134	3/55	0.1737617096343468114927333090236061252653598785400390625	0.99138732094582160403462012254749424755573272705078125	0.1927168391999283247884022785001434385776519775390625	0.992588119968917936830621329136192798614501953125	-0.8252470413895111	1.4442404224881686	IL18;CYCS;CXCL1
Acute myeloid leukemia_Homo sapiens_hsa05221	3/57	0.186872816059926949439073950998135842382907867431640625	0.99138732094582160403462012254749424755573272705078125	0.20618070986716852122100362976198084652423858642578125	0.992588119968917936830621329136192798614501953125	-0.8048672678818894	1.3500256171724276	CEBPA;EIF4EBP1;KRAS
Rheumatoid arthritis_Homo sapiens_hsa05323	4/90	0.2095050693801678021177536948016495443880558013916015625	0.99138732094582160403462012254749424755573272705078125	0.2305169441696964527377389231332927010953426361083984375	0.992588119968917936830621329136192798614501953125	-0.8583910988825384	1.3416715901990608	IL18;CXCL1;ATP6V0D2;ATP6V0C
Axon guidance_Homo sapiens_hsa04360	5/127	0.2391688108794050859895463645443669520318508148193359375	0.99138732094582160403462012254749424755573272705078125	0.262290426411072863377427211162284947931766510009765625	0.992588119968917936830621329136192798614501953125	-0.851626759221646	1.2183250249072952	EFNB2;CFL2;RASA1;PLXNB2;KRAS
mRNA surveillance pathway_Homo sapiens_hsa03015	4/91	0.2149901564658064645474411236136802472174167633056640625	0.99138732094582160403462012254749424755573272705078125	0.2361524367660481349417977980920113623142242431640625	0.992588119968917936830621329136192798614501953125	-0.7781362443730259	1.196122271652879	CPSF4;UPF1;CPSF1;SMG5
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	4/98	0.254381619026077476775071772863157093524932861328125	0.99138732094582160403462012254749424755573272705078125	0.276427418468106367299697012640535831451416015625	0.992588119968917936830621329136192798614501953125	-0.8491388551221295	1.1624029088351808	FZR1;RPS6KA1;KRAS;MAD1L1
Alzheimer's disease_Homo sapiens_hsa05010	6/168	0.277109886419321271855409349882393144071102142333984375	0.99138732094582160403462012254749424755573272705078125	0.30261608905741699260261157178319990634918212890625	0.992588119968917936830621329136192798614501953125	-0.7405170553988188	0.9503360091630988	COX8A;NDUFA8;LRP1;CYCS;CYC1;COX6C
Choline metabolism in cancer_Homo sapiens_hsa05231	4/101	0.271700265650586303411984090416808612644672393798828125	0.99138732094582160403462012254749424755573272705078125	0.2940361255307923915580659013357944786548614501953125	0.992588119968917936830621329136192798614501953125	-0.7250618516962297	0.9447960402017098	EIF4EBP1;KRAS;WASL;PIP5K1C
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	3/66	0.248508316353478864169090911673265509307384490966796875	0.99138732094582160403462012254749424755573272705078125	0.268940932932253129461486196305486373603343963623046875	0.992588119968917936830621329136192798614501953125	-0.6024977976515775	0.8388450118126486	AARS2;VARS;TARS2
Long-term potentiation_Homo sapiens_hsa04720	3/66	0.248508316353478864169090911673265509307384490966796875	0.99138732094582160403462012254749424755573272705078125	0.268940932932253129461486196305486373603343963623046875	0.992588119968917936830621329136192798614501953125	-0.5448383393665942	0.7585669607480563	RAP1B;RPS6KA1;KRAS
Tight junction_Homo sapiens_hsa04530	5/139	0.299024935580671724633106123292236588895320892333984375	0.99138732094582160403462012254749424755573272705078125	0.32342894337399119564224747591651976108551025390625	0.992588119968917936830621329136192798614501953125	-0.5304567360493498	0.6403823903033795	CLDN3;MYH9;KRAS;TJP3;LLGL2
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	3/68	0.262626355338355266244576569079072214663028717041015625	0.99138732094582160403462012254749424755573272705078125	0.283213435169608340746805197341018356382846832275390625	0.992588119968917936830621329136192798614501953125	-0.4750762613706242	0.6351878687730894	CXCL1;ATP6V0D2;ATP6V0C
Hepatitis B_Homo sapiens_hsa05161	5/146	0.33500116995336293168605834580375812947750091552734375	0.99138732094582160403462012254749424755573272705078125	0.359861115328773462085365508755785413086414337158203125	0.992588119968917936830621329136192798614501953125	-0.534472722477254	0.584510729393278	CREB3L3;ATF6B;VDAC3;CYCS;KRAS
Synaptic vesicle cycle_Homo sapiens_hsa04721	3/63	0.2275682856780387453010661147345672361552715301513671875	0.99138732094582160403462012254749424755573272705078125	0.2477065494943165024910314286898938007652759552001953125	0.992588119968917936830621329136192798614501953125	-0.3709192193085661	0.5490735485300963	AP2A1;ATP6V0D2;ATP6V0C
Primary bile acid biosynthesis_Homo sapiens_hsa00120	2/17	0.0716657588350320395864656575213302858173847198486328125	0.99138732094582160403462012254749424755573272705078125	0.086797420992487495094991345467860810458660125732421875	0.992588119968917936830621329136192798614501953125	-0.18037484586912586	0.47542159434215786	ACOT8;CYP8B1
HTLV-I infection_Homo sapiens_hsa05166	8/258	0.362816944115293471551098036798066459596157073974609375	0.99138732094582160403462012254749424755573272705078125	0.393106283353058361118570473990985192358493804931640625	0.992588119968917936830621329136192798614501953125	-0.4442011657317037	0.4503563982513666	VAC14;KAT2B;DLG1;RANBP3;DVL1;VDAC3;TSPO;KRAS
Endocytosis_Homo sapiens_hsa04144	8/259	0.366772625609733449181248943204991519451141357421875	0.99138732094582160403462012254749424755573272705078125	0.397123640659511611961107746537891216576099395751953125	0.992588119968917936830621329136192798614501953125	-0.44008838254800703	0.4414144443965853	SH3GLB2;VPS29;CAV2;CHMP2B;GBF1;AP2A1;WASL;PIP5K1C
Inositol phosphate metabolism_Homo sapiens_hsa00562	3/71	0.283977552030074298361483897679136134684085845947265625	0.99138732094582160403462012254749424755573272705078125	0.30473710359235439693037506003747694194316864013671875	0.992588119968917936830621329136192798614501953125	-0.34629322995670836	0.43593472527656973	IMPAD1;PIP5K1C;CDIPT
PPAR signaling pathway_Homo sapiens_hsa03320	3/69	0.269723254996338202005290440865792334079742431640625	0.99138732094582160403462012254749424755573272705078125	0.290375547698066061030885975924320518970489501953125	0.992588119968917936830621329136192798614501953125	-0.33159245359261347	0.43450509857529285	RXRA;ANGPTL4;CYP8B1
Chemokine signaling pathway_Homo sapiens_hsa04062	6/187	0.36437205807254746670054146306938491761684417724609375	0.99138732094582160403462012254749424755573272705078125	0.391316684702971928633274956155219115316867828369140625	0.992588119968917936830621329136192798614501953125	-0.345927202018082	0.349241113978664	RAP1B;PXN;CXCL1;KRAS;WASL;BCAR1
Thyroid cancer_Homo sapiens_hsa05216	2/29	0.1750784800590279022269868391958880238234996795654296875	0.99138732094582160403462012254749424755573272705078125	0.1935772856907471972665035764293861575424671173095703125	0.992588119968917936830621329136192798614501953125	-0.19037629609058795	0.3317346839605782	RXRA;KRAS
Thyroid hormone synthesis_Homo sapiens_hsa04918	3/71	0.283977552030074298361483897679136134684085845947265625	0.99138732094582160403462012254749424755573272705078125	0.30473710359235439693037506003747694194316864013671875	0.992588119968917936830621329136192798614501953125	-0.23471224225400877	0.29546987349085735	CREB3L3;ATF6B;IYD
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	3/81	0.355728109334663755713989985451917164027690887451171875	0.99138732094582160403462012254749424755573272705078125	0.3766063178355689711196419011685065925121307373046875	0.992588119968917936830621329136192798614501953125	-0.12421679790347397	0.12838906347776013	SCARB1;CREB3L3;ATF6B
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	4/118	0.372243212825434544033242900695768184959888458251953125	0.99138732094582160403462012254749424755573272705078125	0.3953074131416871583866168293752707540988922119140625	0.992588119968917936830621329136192798614501953125	-0.09053608434343982	0.08946846838946712	KAT2B;RXRA;MED24;KRAS
Cardiac muscle contraction_Homo sapiens_hsa04260	3/78	0.33420248503333327416697784428833983838558197021484375	0.99138732094582160403462012254749424755573272705078125	0.355112663097853442639717513884534128010272979736328125	0.992588119968917936830621329136192798614501953125	-0.05653371280164112	0.06196141433806044	COX8A;CYC1;COX6C
Leukocyte transendothelial migration_Homo sapiens_hsa04670	4/118	0.372243212825434544033242900695768184959888458251953125	0.99138732094582160403462012254749424755573272705078125	0.3953074131416871583866168293752707540988922119140625	0.992588119968917936830621329136192798614501953125	-0.05969954197896634	0.058995555453330545	RAP1B;CLDN3;PXN;BCAR1
Collecting duct acid secretion_Homo sapiens_hsa04966	2/27	0.156439403141843846878344947981531731784343719482421875	0.99138732094582160403462012254749424755573272705078125	0.1746248473230068432027195513001061044633388519287109375	0.992588119968917936830621329136192798614501953125	-0.02987807819960089	0.055426420839264696	ATP6V0D2;ATP6V0C
MicroRNAs in cancer_Homo sapiens_hsa05206	1/297	0.9996400390823823034480710703064687550067901611328125	0.9996400390823823034480710703064687550067901611328125	0.99968291995744162914405706032994203269481658935546875	0.99968291995744162914405706032994203269481658935546875	3.309525840782439	-0.0011915144207075197	KRAS
Sphingolipid signaling pathway_Homo sapiens_hsa04071	4/120	0.384128179190083240968078825972042977809906005859375	0.99138732094582160403462012254749424755573272705078125	0.4071857569896952799837208658573217689990997314453125	0.992588119968917936830621329136192798614501953125	0.021075139609296013	-0.020164250623399153	ACER2;ASAH1;KRAS;SGPP1
Calcium signaling pathway_Homo sapiens_hsa04020	1/180	0.99169917102635396499721309737651608884334564208984375	0.99629037089221672562899811964598484337329864501953125	0.9921872619499494394545990871847607195377349853515625	0.9967807214960140438364533110870979726314544677734375	3.4616667560293535	-0.028854628748719947	VDAC3
Purine metabolism_Homo sapiens_hsa00230	1/176	0.990762149270870917661113708163611590862274169921875	0.99629037089221672562899811964598484337329864501953125	0.99129109231621737041706410309416241943836212158203125	0.9967807214960140438364533110870979726314544677734375	3.2898929754328075	-0.030532787028772324	POLR2A
Oxytocin signaling pathway_Homo sapiens_hsa04921	1/158	0.98505568216588323959825856945826672017574310302734375	0.99629037089221672562899811964598484337329864501953125	0.9858143538744925660211038120905868709087371826171875	0.9967807214960140438364533110870979726314544677734375	3.5957883853159007	-0.054142178702014994	KRAS
Galactose metabolism_Homo sapiens_hsa00052	2/30	0.184525745745095670624635886269970797002315521240234375	0.99138732094582160403462012254749424755573272705078125	0.203151544830059094248753126521478407084941864013671875	0.992588119968917936830621329136192798614501953125	0.05025905401100864	-0.08493610663894476	GALE;GAA
AMPK signaling pathway_Homo sapiens_hsa04152	4/124	0.407807345323913994494802182089188136160373687744140625	0.99138732094582160403462012254749424755573272705078125	0.430800621669847838557387831315281800925731658935546875	0.992588119968917936830621329136192798614501953125	0.10156184258691603	-0.09109695185841019	RAB2A;CREB3L3;EIF4EBP1;PPARGC1A
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	3/265	0.97100320473616819061390970091451890766620635986328125	0.99138732094582160403462012254749424755573272705078125	0.9738089590875131928982000317773781716823577880859375	0.992588119968917936830621329136192798614501953125	3.1817580604019637	-0.09362485441003573	IL18;CXCL1;PRLR
Measles_Homo sapiens_hsa05162	1/136	0.97311290028322583456343863872461952269077301025390625	0.99138732094582160403462012254749424755573272705078125	0.974291564762117534570506904856301844120025634765625	0.992588119968917936830621329136192798614501953125	3.4895814990543967	-0.09510913820135312	TAB2
Focal adhesion_Homo sapiens_hsa04510	6/202	0.4343206225146640786505258802208118140697479248046875	0.99138732094582160403462012254749424755573272705078125	0.46152015890989750435124960858956910669803619384765625	0.992588119968917936830621329136192798614501953125	0.11477921259391058	-0.09572267887770826	RAP1B;CAV2;PXN;ZYX;PIP5K1C;BCAR1
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	1/135	0.972385883870654499361307898652739822864532470703125	0.99138732094582160403462012254749424755573272705078125	0.9735884536350594142817271858802996575832366943359375	0.992588119968917936830621329136192798614501953125	3.5175799875666462	-0.09850122157556165	KRAS
FoxO signaling pathway_Homo sapiens_hsa04068	1/133	0.970872463501503801808212301693856716156005859375	0.99138732094582160403462012254749424755573272705078125	0.9721243402014099199703878184664063155651092529296875	0.992588119968917936830621329136192798614501953125	3.4853133240590055	-0.10302643636402578	KRAS
Osteoclast differentiation_Homo sapiens_hsa04380	1/132	0.9700849886036222446961119203479029238224029541015625	0.99138732094582160403462012254749424755573272705078125	0.9713622892945383835439088215935043990612030029296875	0.992588119968917936830621329136192798614501953125	3.519322661213524	-0.1068874397453986	TAB2
cAMP signaling pathway_Homo sapiens_hsa04024	2/199	0.968052829250046986686584205017425119876861572265625	0.99138732094582160403462012254749424755573272705078125	0.97029976307780529953816994748194701969623565673828125	0.992588119968917936830621329136192798614501953125	3.405934091044119	-0.11058597131141316	RAP1B;CREB3L3
Oocyte meiosis_Homo sapiens_hsa04114	1/123	0.96196956068040762044546454490046016871929168701171875	0.99138732094582160403462012254749424755573272705078125	0.963500995343783639413004493690095841884613037109375	0.992588119968917936830621329136192798614501953125	3.5739354632358054	-0.13857030739368856	RPS6KA1
Cell cycle_Homo sapiens_hsa04110	4/124	0.407807345323913994494802182089188136160373687744140625	0.99138732094582160403462012254749424755573272705078125	0.430800621669847838557387831315281800925731658935546875	0.992588119968917936830621329136192798614501953125	0.16278803375219994	-0.14601442132322892	FZR1;STAG2;RAD21;MAD1L1
Vascular smooth muscle contraction_Homo sapiens_hsa04270	1/120	0.9588027617272090186162358804722316563129425048828125	0.99138732094582160403462012254749424755573272705078125	0.96043008849895183942635412677191197872161865234375	0.992588119968917936830621329136192798614501953125	3.6918168991153197	-0.1553143530942158	ARHGEF1
Serotonergic synapse_Homo sapiens_hsa04726	1/112	0.94901135156347959931366631280980072915554046630859375	0.99138732094582160403462012254749424755573272705078125	0.9509262862282839012806334721972234547138214111328125	0.992588119968917936830621329136192798614501953125	3.738486610783223	-0.19565189795912594	KRAS
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	4/277	0.9339033981095166137009755402687005698680877685546875	0.99138732094582160403462012254749424755573272705078125	0.94028169892235935467539320598007179796695709228515625	0.992588119968917936830621329136192798614501953125	2.9383349364156817	-0.200930025462165	P2RY2;TSPO;NR3C1;PRLR
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	1/106	0.94017223520660053726061278212000615894794464111328125	0.99138732094582160403462012254749424755573272705078125	0.94233774389604552101928902629879303276538848876953125	0.992588119968917936830621329136192798614501953125	3.617646360083664	-0.22318053223997	TAB2
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	1/104	0.93689828620706394612938083810149691998958587646484375	0.99138732094582160403462012254749424755573272705078125	0.93915486602461950571552051769685931503772735595703125	0.992588119968917936830621329136192798614501953125	3.660460788098148	-0.2385908666140688	C1QC
HIF-1 signaling pathway_Homo sapiens_hsa04066	1/103	0.935194859121624144648876608698628842830657958984375	0.99138732094582160403462012254749424755573272705078125	0.93749849691318443145604533128789626061916351318359375	0.992588119968917936830621329136192798614501953125	3.5642002292608734	-0.23880271960535285	EIF4EBP1
Jak-STAT signaling pathway_Homo sapiens_hsa04630	2/158	0.921137010061964911500353991868905723094940185546875	0.99138732094582160403462012254749424755573272705078125	0.92557322129802732657566366469836793839931488037109375	0.992588119968917936830621329136192798614501953125	3.026551880030249	-0.24862061831317417	PRLR;PTPN2
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	1/101	0.93164909006903651178532754784100688993930816650390625	0.99138732094582160403462012254749424755573272705078125	0.934050017660238207639622487477026879787445068359375	0.992588119968917936830621329136192798614501953125	3.6310287393522342	-0.25707337799497904	KRAS
Amoebiasis_Homo sapiens_hsa05146	1/100	0.9298042469370864093747286460711620748043060302734375	0.99138732094582160403462012254749424755573272705078125	0.932255460327003238063525714096613228321075439453125	0.992588119968917936830621329136192798614501953125	3.6954222877596026	-0.26895727657275137	CXCL1
Spliceosome_Homo sapiens_hsa03040	4/134	0.466041039047811189721670643848483450710773468017578125	0.99138732094582160403462012254749424755573272705078125	0.4886063502475666009416954693733714520931243896484375	0.992588119968917936830621329136192798614501953125	0.37255550394201864	-0.2844392655726675	TRA2B;DDX23;SRSF10;CHERP
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	1/98	0.92596413667439614325616048517986200749874114990234375	0.99138732094582160403462012254749424755573272705078125	0.92851934442963079963107020375900901854038238525390625	0.992588119968917936830621329136192798614501953125	3.7499992401692133	-0.2884490954762304	P2RY2
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	2/148	0.90232153329419251264198464923538267612457275390625	0.99138732094582160403462012254749424755573272705078125	0.90752531518719903314007524386397562921047210693359375	0.992588119968917936830621329136192798614501953125	2.887374051492165	-0.2967768806006682	CREB3L3;ATF6B
Pancreatic secretion_Homo sapiens_hsa04972	1/96	0.92191437392217334689803465153090655803680419921875	0.99138732094582160403462012254749424755573272705078125	0.924578337379937664763929205946624279022216796875	0.992588119968917936830621329136192798614501953125	3.675907771668981	-0.29886207103631096	RAP1B
Hepatitis C_Homo sapiens_hsa05160	4/133	0.46030044561605476527432756483904086053371429443359375	0.99138732094582160403462012254749424755573272705078125	0.482924137965779098902174837348866276443004608154296875	0.992588119968917936830621329136192798614501953125	0.3943000768678077	-0.30592791126162316	SCARB1;RXRA;CLDN3;KRAS
Phospholipase D signaling pathway_Homo sapiens_hsa04072	2/144	0.89368227021917079344603962454129941761493682861328125	0.99138732094582160403462012254749424755573272705078125	0.89922463772701621831373586246627382934093475341796875	0.992588119968917936830621329136192798614501953125	2.920310914191563	-0.3282574590020505	KRAS;PIP5K1C
Gap junction_Homo sapiens_hsa04540	3/88	0.405493383189968581437057082439423538744449615478515625	0.99138732094582160403462012254749424755573272705078125	0.426105549656565274485586769515066407620906829833984375	0.992588119968917936830621329136192798614501953125	0.3660969282607731	-0.33045765706214364	KRAS;CSNK1D;TUBB4B
NF-kappa B signaling pathway_Homo sapiens_hsa04064	1/93	0.91542147470741941361893623252399265766143798828125	0.99138732094582160403462012254749424755573272705078125	0.91825805014681838311929595874971710145473480224609375	0.992588119968917936830621329136192798614501953125	3.745533785195099	-0.33099541126216503	TAB2
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	6/341	0.8845233803272527506322830959106795489788055419921875	0.99138732094582160403462012254749424755573272705078125	0.89701726712251705908585108772967942059040069580078125	0.992588119968917936830621329136192798614501953125	2.729399790247858	-0.33491463777453007	RXRA;CREB3L3;ATF6B;EIF4EBP1;KRAS;PRLR
Small cell lung cancer_Homo sapiens_hsa05222	3/86	0.39136844355996658340046678858925588428974151611328125	0.99138732094582160403462012254749424755573272705078125	0.412081780396939212351981041138060390949249267578125	0.992588119968917936830621329136192798614501953125	0.35745482393014477	-0.33533046208226264	RXRA;TRAF4;CYCS
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.889101189716578144128789062961004674434661865234375	0.99138732094582160403462012254749424755573272705078125	0.894819988905157348568764064111746847629547119140625	0.992588119968917936830621329136192798614501953125	2.869245877692405	-0.3372632851584733	DVL1;LRP5
GnRH signaling pathway_Homo sapiens_hsa04912	1/91	0.91079623734503278864593767139012925326824188232421875	0.99138732094582160403462012254749424755573272705078125	0.9137545991326250227615446419804356992244720458984375	0.992588119968917936830621329136192798614501953125	3.763541196603385	-0.3516505211055315	KRAS
