




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to oxygen-containing compound (GO:1901700)	1488	46	22.56	+	2.04	5.46E-06	3.28E-03
ATP metabolic process (GO:0046034)	207	14	3.14	+	4.46	6.44E-06	3.59E-03
purine ribonucleoside triphosphate metabolic process (GO:0009205)	238	15	3.61	+	4.16	6.75E-06	3.63E-03
nucleotide metabolic process (GO:0009117)	520	23	7.88	+	2.92	8.05E-06	4.05E-03
small molecule biosynthetic process (GO:0044283)	597	25	9.05	+	2.76	8.01E-06	4.17E-03
ribonucleoside triphosphate metabolic process (GO:0009199)	244	15	3.70	+	4.06	8.95E-06	4.36E-03
purine nucleoside triphosphate metabolic process (GO:0009144)	245	15	3.71	+	4.04	9.37E-06	4.43E-03
generation of precursor metabolites and energy (GO:0006091)	416	20	6.31	+	3.17	1.01E-05	4.50E-03
nucleoside phosphate metabolic process (GO:0006753)	527	23	7.99	+	2.88	9.90E-06	4.54E-03
fatty acid derivative metabolic process (GO:1901568)	161	12	2.44	+	4.92	1.19E-05	5.16E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	615	25	9.32	+	2.68	1.30E-05	5.48E-03
gene expression (GO:0010467)	3841	30	58.23	-	.52	1.88E-05	7.71E-03
RNA processing (GO:0006396)	925	1	14.02	-	.07	2.00E-05	8.02E-03
nucleoside triphosphate metabolic process (GO:0009141)	266	15	4.03	+	3.72	2.34E-05	9.13E-03
adult behavior (GO:0030534)	147	11	2.23	+	4.94	2.66E-05	1.01E-02
regulation of lipid metabolic process (GO:0019216)	374	18	5.67	+	3.17	2.77E-05	1.03E-02
cellular amino acid catabolic process (GO:0009063)	123	10	1.86	+	5.36	3.20E-05	1.16E-02
response to inorganic substance (GO:0010035)	499	21	7.56	+	2.78	4.02E-05	1.33E-02
monocarboxylic acid biosynthetic process (GO:0072330)	214	13	3.24	+	4.01	3.98E-05	1.35E-02
animal organ development (GO:0048513)	3039	74	46.07	+	1.61	3.94E-05	1.37E-02
response to hormone (GO:0009725)	903	31	13.69	+	2.26	3.87E-05	1.37E-02
response to metal ion (GO:0010038)	351	17	5.32	+	3.19	4.29E-05	1.39E-02
purine nucleoside monophosphate metabolic process (GO:0009126)	252	14	3.82	+	3.66	5.09E-05	1.53E-02
response to drug (GO:0042493)	922	31	13.98	+	2.22	5.01E-05	1.53E-02
response to estradiol (GO:0032355)	130	10	1.97	+	5.07	4.96E-05	1.55E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	251	14	3.81	+	3.68	4.89E-05	1.56E-02
sulfur compound metabolic process (GO:0006790)	360	17	5.46	+	3.11	5.78E-05	1.67E-02
steroid metabolic process (GO:0008202)	255	14	3.87	+	3.62	5.75E-05	1.69E-02
lipid biosynthetic process (GO:0008610)	602	23	9.13	+	2.52	7.22E-05	1.94E-02
developmental process (GO:0032502)	5618	118	85.17	+	1.39	7.35E-05	1.94E-02
RNA metabolic process (GO:0016070)	3514	28	53.27	-	.53	7.21E-05	1.97E-02
icosanoid metabolic process (GO:0006690)	109	9	1.65	+	5.45	7.10E-05	1.98E-02
lipid metabolic process (GO:0006629)	1253	38	19.00	+	2.00	6.98E-05	1.98E-02
drug catabolic process (GO:0042737)	138	10	2.09	+	4.78	7.93E-05	2.03E-02
ribonucleoside monophosphate metabolic process (GO:0009161)	263	14	3.99	+	3.51	7.87E-05	2.05E-02
multicellular organismal process (GO:0032501)	6790	137	102.94	+	1.33	8.40E-05	2.11E-02
cellular respiration (GO:0045333)	169	11	2.56	+	4.29	8.73E-05	2.16E-02
organophosphate metabolic process (GO:0019637)	1000	32	15.16	+	2.11	9.88E-05	2.41E-02
system development (GO:0048731)	4272	94	64.76	+	1.45	1.12E-04	2.56E-02
electron transport coupled proton transport (GO:0015990)	4	3	.06	+	49.47	1.10E-04	2.57E-02
response to jasmonic acid (GO:0009753)	4	3	.06	+	49.47	1.10E-04	2.61E-02
cellular response to jasmonic acid stimulus (GO:0071395)	4	3	.06	+	49.47	1.10E-04	2.65E-02
oxidative phosphorylation (GO:0006119)	119	9	1.80	+	4.99	1.33E-04	3.00E-02
response to organic cyclic compound (GO:0014070)	888	29	13.46	+	2.15	1.37E-04	3.01E-02
response to nutrient (GO:0007584)	210	12	3.18	+	3.77	1.36E-04	3.02E-02
energy derivation by oxidation of organic compounds (GO:0015980)	244	13	3.70	+	3.51	1.40E-04	3.03E-02
nucleoside monophosphate metabolic process (GO:0009123)	279	14	4.23	+	3.31	1.42E-04	3.04E-02
response to nutrient levels (GO:0031667)	469	19	7.11	+	2.67	1.50E-04	3.16E-02
positive regulation of epithelial cell proliferation (GO:0050679)	181	11	2.74	+	4.01	1.55E-04	3.22E-02
multicellular organism development (GO:0007275)	4888	104	74.10	+	1.40	1.77E-04	3.58E-02
cellular amino acid metabolic process (GO:0006520)	321	15	4.87	+	3.08	1.75E-04	3.59E-02
ameboidal-type cell migration (GO:0001667)	154	10	2.33	+	4.28	1.85E-04	3.70E-02
alpha-amino acid metabolic process (GO:1901605)	218	12	3.30	+	3.63	1.89E-04	3.72E-02
anatomical structure development (GO:0048856)	5253	110	79.64	+	1.38	1.96E-04	3.77E-02
sulfation (GO:0051923)	16	4	.24	+	16.49	1.96E-04	3.82E-02
response to toxic substance (GO:0009636)	481	19	7.29	+	2.61	2.05E-04	3.89E-02
regulation of protein kinase C signaling (GO:0090036)	17	4	.26	+	15.52	2.39E-04	4.49E-02
hormone metabolic process (GO:0042445)	192	11	2.91	+	3.78	2.51E-04	4.60E-02
unsaturated fatty acid metabolic process (GO:0033559)	102	8	1.55	+	5.17	2.48E-04	4.61E-02
cofactor metabolic process (GO:0051186)	490	19	7.43	+	2.56	2.56E-04	4.64E-02
locomotory behavior (GO:0007626)	193	11	2.93	+	3.76	2.62E-04	4.69E-02
cellular lipid metabolic process (GO:0044255)	1003	31	15.21	+	2.04	2.95E-04	5.17E-02
alpha-amino acid catabolic process (GO:1901606)	105	8	1.59	+	5.03	2.98E-04	5.17E-02
animal organ regeneration (GO:0031100)	79	7	1.20	+	5.84	3.04E-04	5.21E-02
secondary metabolic process (GO:0019748)	55	6	.83	+	7.20	2.95E-04	5.22E-02
phosphorus metabolic process (GO:0006793)	2216	55	33.59	+	1.64	3.21E-04	5.27E-02
sex differentiation (GO:0007548)	266	13	4.03	+	3.22	3.11E-04	5.28E-02
regulation of small molecule metabolic process (GO:0062012)	499	19	7.56	+	2.51	3.18E-04	5.28E-02
response to extracellular stimulus (GO:0009991)	499	19	7.56	+	2.51	3.18E-04	5.34E-02
cellular macromolecule metabolic process (GO:0044260)	6701	72	101.59	-	.71	3.34E-04	5.43E-02
regulation of ion transport (GO:0043269)	624	22	9.46	+	2.33	3.59E-04	5.54E-02
response to alcohol (GO:0097305)	200	11	3.03	+	3.63	3.49E-04	5.56E-02
cellular macromolecule biosynthetic process (GO:0034645)	3718	33	56.37	-	.59	3.57E-04	5.57E-02
regulation of heart morphogenesis (GO:2000826)	36	5	.55	+	9.16	3.47E-04	5.58E-02
response to ethanol (GO:0045471)	137	9	2.08	+	4.33	3.57E-04	5.62E-02
regulation of steroid metabolic process (GO:0019218)	109	8	1.65	+	4.84	3.78E-04	5.66E-02
adult locomotory behavior (GO:0008344)	82	7	1.24	+	5.63	3.75E-04	5.68E-02
aerobic respiration (GO:0009060)	82	7	1.24	+	5.63	3.75E-04	5.74E-02
response to endogenous stimulus (GO:0009719)	1409	39	21.36	+	1.83	4.23E-04	6.29E-02
organic hydroxy compound metabolic process (GO:1901615)	430	17	6.52	+	2.61	4.34E-04	6.39E-02
long-chain fatty acid metabolic process (GO:0001676)	112	8	1.70	+	4.71	4.48E-04	6.53E-02
gonad development (GO:0008406)	207	11	3.14	+	3.51	4.60E-04	6.65E-02
response to lipid (GO:0033993)	848	27	12.86	+	2.10	4.76E-04	6.76E-02
regulation of epithelial cell proliferation (GO:0050678)	316	14	4.79	+	2.92	4.76E-04	6.82E-02
carbohydrate derivative metabolic process (GO:1901135)	1086	32	16.46	+	1.94	5.04E-04	6.84E-02
macromolecule biosynthetic process (GO:0009059)	3776	34	57.24	-	.59	5.01E-04	6.86E-02
polyketide metabolic process (GO:0030638)	8	3	.12	+	24.74	4.98E-04	6.88E-02
daunorubicin metabolic process (GO:0044597)	8	3	.12	+	24.74	4.98E-04	6.94E-02
doxorubicin metabolic process (GO:0044598)	8	3	.12	+	24.74	4.98E-04	7.00E-02
nucleoside bisphosphate metabolic process (GO:0033865)	40	5	.61	+	8.25	5.39E-04	7.12E-02
ribonucleoside bisphosphate metabolic process (GO:0033875)	40	5	.61	+	8.25	5.39E-04	7.19E-02
sulfur compound biosynthetic process (GO:0044272)	178	10	2.70	+	3.71	5.50E-04	7.21E-02
purine nucleoside bisphosphate metabolic process (GO:0034032)	40	5	.61	+	8.25	5.39E-04	7.25E-02
branched-chain amino acid catabolic process (GO:0009083)	22	4	.33	+	11.99	5.63E-04	7.32E-02
development of primary sexual characteristics (GO:0045137)	213	11	3.23	+	3.41	5.78E-04	7.45E-02
monocarboxylic acid catabolic process (GO:0072329)	118	8	1.79	+	4.47	6.20E-04	7.92E-02
aminoglycoside antibiotic metabolic process (GO:0030647)	9	3	.14	+	21.99	6.57E-04	8.26E-02
cellular response to hormone stimulus (GO:0032870)	613	21	9.29	+	2.26	6.63E-04	8.27E-02
negative regulation of activin receptor signaling pathway (GO:0032926)	9	3	.14	+	21.99	6.57E-04	8.33E-02
ammonium ion metabolic process (GO:0097164)	186	10	2.82	+	3.55	7.60E-04	9.41E-02
regulation of hormone levels (GO:0010817)	517	19	7.84	+	2.42	7.68E-04	9.43E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	94	7	1.43	+	4.91	8.04E-04	9.58E-02
catechol-containing compound metabolic process (GO:0009712)	44	5	.67	+	7.50	8.01E-04	9.61E-02
response to oxygen levels (GO:0070482)	373	15	5.65	+	2.65	7.91E-04	9.63E-02
tissue development (GO:0009888)	1675	43	25.39	+	1.69	8.17E-04	9.65E-02
catecholamine metabolic process (GO:0006584)	44	5	.67	+	7.50	8.01E-04	9.69E-02
pyruvate metabolic process (GO:0006090)	68	6	1.03	+	5.82	8.36E-04	9.80E-02
branched-chain amino acid metabolic process (GO:0009081)	25	4	.38	+	10.55	8.63E-04	9.83E-02
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	25	4	.38	+	10.55	8.63E-04	9.90E-02
ATP synthesis coupled electron transport (GO:0042773)	95	7	1.44	+	4.86	8.53E-04	9.93E-02
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	25	4	.38	+	10.55	8.63E-04	9.97E-02
cofactor biosynthetic process (GO:0051188)	227	11	3.44	+	3.20	9.51E-04	1.07E-01
epithelial tube morphogenesis (GO:0060562)	304	13	4.61	+	2.82	1.03E-03	1.14E-01
purine nucleotide biosynthetic process (GO:0006164)	160	9	2.43	+	3.71	1.02E-03	1.15E-01
positive regulation of cytolysis (GO:0045919)	11	3	.17	+	17.99	1.06E-03	1.17E-01
biotin metabolic process (GO:0006768)	11	3	.17	+	17.99	1.06E-03	1.18E-01
cellular response to inorganic substance (GO:0071241)	197	10	2.99	+	3.35	1.15E-03	1.24E-01
response to antibiotic (GO:0046677)	308	13	4.67	+	2.78	1.15E-03	1.24E-01
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	48	5	.73	+	6.87	1.15E-03	1.25E-01
organ growth (GO:0035265)	73	6	1.11	+	5.42	1.18E-03	1.26E-01
regulation of reactive oxygen species metabolic process (GO:2000377)	164	9	2.49	+	3.62	1.21E-03	1.28E-01
response to decreased oxygen levels (GO:0036293)	350	14	5.31	+	2.64	1.23E-03	1.30E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	102	7	1.55	+	4.53	1.26E-03	1.31E-01
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	102	7	1.55	+	4.53	1.26E-03	1.32E-01
homocysteine metabolic process (GO:0050667)	12	3	.18	+	16.49	1.31E-03	1.36E-01
response to peptide hormone (GO:0043434)	394	15	5.97	+	2.51	1.34E-03	1.37E-01
coenzyme metabolic process (GO:0006732)	315	13	4.78	+	2.72	1.39E-03	1.42E-01
branching morphogenesis of an epithelial tube (GO:0048754)	135	8	2.05	+	3.91	1.41E-03	1.43E-01
triglyceride metabolic process (GO:0006641)	76	6	1.15	+	5.21	1.43E-03	1.44E-01
cellular response to nutrient levels (GO:0031669)	204	10	3.09	+	3.23	1.48E-03	1.48E-01
ATP biosynthetic process (GO:0006754)	77	6	1.17	+	5.14	1.52E-03	1.51E-01
cellular response to oxygen-containing compound (GO:1901701)	933	27	14.14	+	1.91	1.55E-03	1.53E-01
retinal metabolic process (GO:0042574)	13	3	.20	+	15.22	1.60E-03	1.54E-01
pathway-restricted SMAD protein phosphorylation (GO:0060389)	13	3	.20	+	15.22	1.60E-03	1.55E-01
neuronal action potential (GO:0019228)	30	4	.45	+	8.79	1.59E-03	1.55E-01
epithelial cell migration (GO:0010631)	78	6	1.18	+	5.07	1.62E-03	1.55E-01
organic hydroxy compound biosynthetic process (GO:1901617)	171	9	2.59	+	3.47	1.59E-03	1.56E-01
purine-containing compound biosynthetic process (GO:0072522)	172	9	2.61	+	3.45	1.65E-03	1.57E-01
regulation of cell death (GO:0010941)	1678	42	25.44	+	1.65	1.70E-03	1.60E-01
response to abiotic stimulus (GO:0009628)	1131	31	17.15	+	1.81	1.70E-03	1.60E-01
coenzyme biosynthetic process (GO:0009108)	174	9	2.64	+	3.41	1.78E-03	1.66E-01
cellular response to metal ion (GO:0071248)	175	9	2.65	+	3.39	1.85E-03	1.71E-01
tissue morphogenesis (GO:0048729)	531	18	8.05	+	2.24	1.86E-03	1.72E-01
cellular hormone metabolic process (GO:0034754)	110	7	1.67	+	4.20	1.90E-03	1.74E-01
regulation of transmembrane transport (GO:0034762)	533	18	8.08	+	2.23	1.92E-03	1.74E-01
macromolecule metabolic process (GO:0043170)	7831	92	118.72	-	.77	1.94E-03	1.74E-01
epithelium migration (GO:0090132)	81	6	1.23	+	4.89	1.94E-03	1.75E-01
phosphate-containing compound metabolic process (GO:0006796)	2117	50	32.09	+	1.56	1.92E-03	1.75E-01
regulation of p38MAPK cascade (GO:1900744)	32	4	.49	+	8.25	1.97E-03	1.76E-01
lipid catabolic process (GO:0016042)	289	12	4.38	+	2.74	2.01E-03	1.78E-01
cellular amino acid biosynthetic process (GO:0008652)	82	6	1.24	+	4.83	2.06E-03	1.80E-01
regulation of steroid biosynthetic process (GO:0050810)	82	6	1.24	+	4.83	2.06E-03	1.81E-01
kidney development (GO:0001822)	252	11	3.82	+	2.88	2.10E-03	1.83E-01
cellular response to chemical stimulus (GO:0070887)	2799	62	42.43	+	1.46	2.14E-03	1.85E-01
respiratory electron transport chain (GO:0022904)	113	7	1.71	+	4.09	2.19E-03	1.89E-01
ribonucleoside monophosphate biosynthetic process (GO:0009156)	114	7	1.73	+	4.05	2.29E-03	1.94E-01
cellular response to lipid (GO:0071396)	494	17	7.49	+	2.27	2.29E-03	1.94E-01
primary alcohol catabolic process (GO:0034310)	15	3	.23	+	13.19	2.28E-03	1.94E-01
regulation of apoptotic process (GO:0042981)	1544	39	23.41	+	1.67	2.33E-03	1.95E-01
arachidonic acid metabolic process (GO:0019369)	57	5	.86	+	5.79	2.32E-03	1.95E-01
progesterone metabolic process (GO:0042448)	15	3	.23	+	13.19	2.28E-03	1.95E-01
electron transport chain (GO:0022900)	182	9	2.76	+	3.26	2.38E-03	1.97E-01
regulation of programmed cell death (GO:0043067)	1558	39	23.62	+	1.65	2.46E-03	2.03E-01
organophosphate biosynthetic process (GO:0090407)	550	18	8.34	+	2.16	2.53E-03	2.07E-01
regulation of biological quality (GO:0065008)	3779	79	57.29	+	1.38	2.56E-03	2.09E-01
positive regulation of protein kinase B signaling (GO:0051897)	150	8	2.27	+	3.52	2.64E-03	2.12E-01
liver regeneration (GO:0097421)	35	4	.53	+	7.54	2.66E-03	2.13E-01
fatty acid biosynthetic process (GO:0006633)	117	7	1.77	+	3.95	2.63E-03	2.13E-01
regulation of cation transmembrane transport (GO:1904062)	299	12	4.53	+	2.65	2.62E-03	2.13E-01
response to hypoxia (GO:0001666)	341	13	5.17	+	2.51	2.72E-03	2.16E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	88	6	1.33	+	4.50	2.87E-03	2.25E-01
tissue migration (GO:0090130)	88	6	1.33	+	4.50	2.87E-03	2.26E-01
primary alcohol metabolic process (GO:0034308)	60	5	.91	+	5.50	2.86E-03	2.26E-01
urogenital system development (GO:0001655)	303	12	4.59	+	2.61	2.91E-03	2.27E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	89	6	1.35	+	4.45	3.02E-03	2.33E-01
response to vitamin (GO:0033273)	89	6	1.35	+	4.45	3.02E-03	2.35E-01
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	61	5	.92	+	5.41	3.06E-03	2.35E-01
branch elongation of an epithelium (GO:0060602)	17	3	.26	+	11.64	3.12E-03	2.36E-01
homoserine metabolic process (GO:0009092)	4	2	.06	+	32.98	3.21E-03	2.37E-01
regulation of cytolysis (GO:0042268)	17	3	.26	+	11.64	3.12E-03	2.37E-01
toxin biosynthetic process (GO:0009403)	4	2	.06	+	32.98	3.21E-03	2.38E-01
serine family amino acid biosynthetic process (GO:0009070)	17	3	.26	+	11.64	3.12E-03	2.38E-01
positive regulation of cell proliferation (GO:0008284)	886	25	13.43	+	1.86	3.16E-03	2.38E-01
transsulfuration (GO:0019346)	4	2	.06	+	32.98	3.21E-03	2.39E-01
purine ribonucleotide biosynthetic process (GO:0009152)	155	8	2.35	+	3.40	3.19E-03	2.39E-01
regulation of endothelial cell proliferation (GO:0001936)	122	7	1.85	+	3.78	3.29E-03	2.42E-01
male sex differentiation (GO:0046661)	156	8	2.36	+	3.38	3.31E-03	2.43E-01
renal system development (GO:0072001)	270	11	4.09	+	2.69	3.50E-03	2.54E-01
peptide biosynthetic process (GO:0043043)	426	0	6.46	-	 < 0.01	3.53E-03	2.54E-01
mRNA metabolic process (GO:0016071)	682	2	10.34	-	.19	3.52E-03	2.54E-01
regulation of axon guidance (GO:1902667)	38	4	.58	+	6.94	3.49E-03	2.55E-01
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	429	0	6.50	-	 < 0.01	3.60E-03	2.56E-01
glycoside metabolic process (GO:0016137)	18	3	.27	+	10.99	3.59E-03	2.57E-01
cellular response to extracellular stimulus (GO:0031668)	233	10	3.53	+	2.83	3.71E-03	2.62E-01
nucleoside monophosphate biosynthetic process (GO:0009124)	125	7	1.90	+	3.69	3.73E-03	2.62E-01
alpha-amino acid biosynthetic process (GO:1901607)	64	5	.97	+	5.15	3.71E-03	2.63E-01
morphogenesis of an epithelium (GO:0002009)	421	15	6.38	+	2.35	3.80E-03	2.66E-01
cardiac muscle tissue development (GO:0048738)	160	8	2.43	+	3.30	3.84E-03	2.67E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	94	6	1.43	+	4.21	3.90E-03	2.69E-01
positive regulation of mitotic cell cycle phase transition (GO:1901992)	65	5	.99	+	5.07	3.94E-03	2.70E-01
regulation of cell proliferation (GO:0042127)	1599	39	24.24	+	1.61	3.93E-03	2.70E-01
peptide metabolic process (GO:0006518)	563	1	8.54	-	.12	3.98E-03	2.70E-01
acylglycerol metabolic process (GO:0006639)	94	6	1.43	+	4.21	3.90E-03	2.70E-01
morphogenesis of a branching epithelium (GO:0061138)	161	8	2.44	+	3.28	3.98E-03	2.71E-01
cellular response to endogenous stimulus (GO:0071495)	1143	30	17.33	+	1.73	4.05E-03	2.73E-01
regulation of transmembrane transporter activity (GO:0022898)	237	10	3.59	+	2.78	4.16E-03	2.75E-01
neutral lipid metabolic process (GO:0006638)	95	6	1.44	+	4.17	4.09E-03	2.75E-01
regulation of protein kinase B signaling (GO:0051896)	199	9	3.02	+	2.98	4.18E-03	2.75E-01
catabolic process (GO:0009056)	2036	47	30.87	+	1.52	4.15E-03	2.75E-01
glycerol metabolic process (GO:0006071)	19	3	.29	+	10.42	4.12E-03	2.76E-01
negative regulation of peptide hormone secretion (GO:0090278)	40	4	.61	+	6.60	4.14E-03	2.76E-01
fatty acid catabolic process (GO:0009062)	96	6	1.46	+	4.12	4.30E-03	2.82E-01
bone mineralization involved in bone maturation (GO:0035630)	5	2	.08	+	26.38	4.44E-03	2.85E-01
response to copper ion (GO:0046688)	41	4	.62	+	6.44	4.49E-03	2.86E-01
glycerol biosynthetic process (GO:0006114)	5	2	.08	+	26.38	4.44E-03	2.86E-01
phosphatidic acid biosynthetic process (GO:0006654)	41	4	.62	+	6.44	4.49E-03	2.87E-01
carnitine biosynthetic process (GO:0045329)	5	2	.08	+	26.38	4.44E-03	2.88E-01
response to prostaglandin D (GO:0071798)	5	2	.08	+	26.38	4.44E-03	2.89E-01
cellular response to prostaglandin D stimulus (GO:0071799)	5	2	.08	+	26.38	4.44E-03	2.90E-01
mammary gland alveolus development (GO:0060749)	20	3	.30	+	9.89	4.68E-03	2.94E-01
mammary gland lobule development (GO:0061377)	20	3	.30	+	9.89	4.68E-03	2.96E-01
regulation of localization (GO:0032879)	2603	57	39.46	+	1.44	4.68E-03	2.97E-01
regulation of ion transmembrane transport (GO:0034765)	441	15	6.69	+	2.24	4.74E-03	2.97E-01
phosphatidic acid metabolic process (GO:0046473)	42	4	.64	+	6.28	4.86E-03	3.03E-01
neural crest cell development (GO:0014032)	69	5	1.05	+	4.78	5.00E-03	3.11E-01
regulation of lipid biosynthetic process (GO:0046890)	168	8	2.55	+	3.14	5.07E-03	3.11E-01
ribonucleotide biosynthetic process (GO:0009260)	168	8	2.55	+	3.14	5.07E-03	3.12E-01
muscle contraction (GO:0006936)	244	10	3.70	+	2.70	5.05E-03	3.13E-01
atrioventricular valve morphogenesis (GO:0003181)	21	3	.32	+	9.42	5.29E-03	3.14E-01
male gonad development (GO:0008584)	133	7	2.02	+	3.47	5.14E-03	3.15E-01
positive regulation of p38MAPK cascade (GO:1900745)	21	3	.32	+	9.42	5.29E-03	3.15E-01
development of primary male sexual characteristics (GO:0046546)	134	7	2.03	+	3.45	5.34E-03	3.16E-01
ethanol metabolic process (GO:0006067)	21	3	.32	+	9.42	5.29E-03	3.16E-01
response to leptin (GO:0044321)	21	3	.32	+	9.42	5.29E-03	3.18E-01
thioester biosynthetic process (GO:0035384)	43	4	.65	+	6.14	5.25E-03	3.18E-01
translation (GO:0006412)	400	0	6.06	-	 < 0.01	5.23E-03	3.18E-01
reactive nitrogen species metabolic process (GO:2001057)	21	3	.32	+	9.42	5.29E-03	3.19E-01
acyl-CoA biosynthetic process (GO:0071616)	43	4	.65	+	6.14	5.25E-03	3.19E-01
morphogenesis of a branching structure (GO:0001763)	170	8	2.58	+	3.10	5.42E-03	3.19E-01
ear development (GO:0043583)	208	9	3.15	+	2.85	5.50E-03	3.22E-01
ribose phosphate biosynthetic process (GO:0046390)	171	8	2.59	+	3.09	5.60E-03	3.27E-01
glycerolipid biosynthetic process (GO:0045017)	248	10	3.76	+	2.66	5.62E-03	3.27E-01
antibiotic catabolic process (GO:0017001)	44	4	.67	+	6.00	5.67E-03	3.29E-01
muscle system process (GO:0003012)	291	11	4.41	+	2.49	5.96E-03	3.30E-01
aerobic electron transport chain (GO:0019646)	22	3	.33	+	8.99	5.95E-03	3.30E-01
toxin metabolic process (GO:0009404)	22	3	.33	+	8.99	5.95E-03	3.31E-01
positive regulation of lipid catabolic process (GO:0050996)	22	3	.33	+	8.99	5.95E-03	3.33E-01
positive regulation of epithelial to mesenchymal transition (GO:0010718)	45	4	.68	+	5.86	6.10E-03	3.33E-01
response to calcium ion (GO:0051592)	136	7	2.06	+	3.40	5.76E-03	3.33E-01
regulation of endocrine process (GO:0044060)	45	4	.68	+	5.86	6.10E-03	3.34E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	22	3	.33	+	8.99	5.95E-03	3.34E-01
regulation of follicle-stimulating hormone secretion (GO:0046880)	6	2	.09	+	21.99	5.87E-03	3.34E-01
neural crest cell migration (GO:0001755)	45	4	.68	+	5.86	6.10E-03	3.35E-01
epoxygenase P450 pathway (GO:0019373)	22	3	.33	+	8.99	5.95E-03	3.35E-01
positive regulation of follicle-stimulating hormone secretion (GO:0046881)	6	2	.09	+	21.99	5.87E-03	3.35E-01
regulation of transporter activity (GO:0032409)	251	10	3.81	+	2.63	6.08E-03	3.35E-01
